,title
321,ARR | Production issue : Unable to read delta tables | GEP | 2205250030000679 
322,Databricks execution taking a lot of time
323,Confluent Databricks sink connector
324,Cluster terminated.Reason:Self Bootstrap Failure
325,Performance issue on the notebooks execution. 
326,2205190030002256 
327,CSS-ARR-2205250030000526-could not able to see cluster list in compute service
328,ARR | Shell | 2204220060001123 | Follow up ticket 00143284 | INIT scripts are not downloading the jar with dependencies | 
329,Error reading streaming state file of HDFSStateStoreProvider
330,"[ARR] [Sev C] 2205180030001625-Sometimes, we are facing an SSL connect issue when importing the data to PowerBI from Azure SQL Endpoint of ADB"
331,runtime 10.4 duplicates columns where 9.1 does not 
332,外部テーブル作成時に必要なIAMポリシーについて
333,0220
334,Cluster launch fails with Failure message Cloud Provider Failure Azure VM Extension stuck on transitioning state
335,Jobs API downtime ?
336,HdfsBridge::recordReaderFillBuffer 
337,Need to check why the model training for so long and there has a good run for this.
338,cannot retrieve driver log
339,Progress of Feature request 
340,Geni access request
341,{CSAT Impacting}Cannot Add Scope for Key Vault in the Databricks side
342,Spark version change issue
343,"SQL Parse exception on SQL analytics, succeeds on Athena"
344,scheduled job did not get cluster assigned.
345,some inconsistent stats in the few feature 'Data Profile'
346,Enable Unity catalog
347,Job aborted due to stage failure
348,Databricks related queries
349,[ARR][Latency issue in Databricks workspace]
350,Issue with certian DBR versions connecting to Glue catalog
351,ARR- ATT- Clusters with GPU won't start- 2205200040006767
352,[ARR] [Sev X] SR- 2205240040005038 Operation on target Ingest to Delta Table failed
353,ARR | 2205230030001082 | Is access to the delta table using ADLS credential passthrough with SQL endpoints supported?
354,databricks workspace does not return status of all the completed jobs using REST API
355,All E2 environments are down.
356,All envs down with following error
357,Unable to login to Databricks workspace. 
358,Workspace Down
359,All Biogen Databricks workspaces are down
360,Databricks Queries are Taking a long Time Stays Stuck at  'Uploading command' 
361,SSO Broken in all workespaces
362,Workspaces are not reachable
363,Authentication unavailable
364,SAML error while setting up
365,Recover databricks workspace
366,Recover databricks workspace
367, Recover databricks workspace
368,Increased AWS data transfer regional costs on clusters
369,2205230040005172 | Job Failure
370,passwordless SFTP connection
371,NPIP tunnel setup failure in Spark job
372,Platform Issues Faced 
373,passwordless SFTP connection
374,958145594491036 - 10280a44-7716-4c2a-8238-1b1796d4fde3 - 2205190040004859
375,Intermittent issues while affecting multiple workspaces
376,Parsing RDD with read_csv behavior changed between 7.3LTS and 10.4LTS
377,workspace_does_not_exist_error when launching Databricks Workspace
378,Object sqldb is not a member of package com.microsoft.azure. the latest JAR with dependencies is installed but still have the error pop up.
379,"Runtime Error, cannot open the connection"
380,2205180050001916 - Missing Library after cluster start
381,2205240040005594 | container
382,Databricks Prod Issue Caused by SparkException
383,2205130050001971 access to DBFS from SQL endpoint
384,ARR - GAP - 2205200010002443 - Diagnostics logs are not available
385,Unable to start clusters
386,ARR - EY - 2205200040005272 - Databricks jobs failed
387,Notebooks/cluster Detach and Re-attcah issue
388,"Runtime Error, cannot open the connection"
389,Delta Live Tables Cluster Init Scripts?
390,ARR | 2205200050000441 | Databricks Security and Compliance
391,Issue while downloading and uploading a jar file
392,ARR |  | 2205130040004443
